[00:00:24] [Server thread/INFO]: eto0104 issued server command: /effect clear LittleKoppepan
[00:00:24] [Server thread/INFO]: [eto0104: Removed every effect from LittleKoppepan]
[00:02:33] [Server thread/INFO]: eto0104 issued server command: /tp kanisan007
[00:02:33] [Server thread/INFO]: [eto0104: Teleported eto0104 to kanisan007]
[00:02:41] [Server thread/INFO]: eto0104 issued server command: /kill @e[type=minecraft:salmon]
[00:02:41] [Server thread/INFO]: [eto0104: Killed 64 entities]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:06] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:07] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:15] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:16] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:16] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:16] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:16] [Server thread/INFO]: [@: Summoned new Pufferfish]
[00:03:16] [Server thread/INFO]: [@: Summoned new Pufferfish]
